,id,age,dg,ht,nha,ba,vol,c_tree,sp_optforeu,pr1,x,y,year
1,1482244052,78.63636364,29.99449437,23.09090909,650,45.92893006,518.5861065,100.3152964,PA,100,24.77,45.46,2017
119,1468545224,78.82352941,24.02557095,14.15294118,670,30.37470848,240.5009843,51.58412988,PA,84.96018055,24.6,45.57,2017
69,1478544053,79.23076923,25.69618777,20.45769231,910,47.19203095,566.8412689,109.6497751,PA,100,24.72,45.46,2014
17,1498244852,79.44444444,29.83080064,22.66666667,570,39.83772748,483.4696303,93.52236528,PA,100,24.98,45.54,2015
45,1514244052,79.5,27.88078474,15.71,760,46.39951708,434.325732,100.4447292,PA,59.82257409,25.18,45.46,2017
4,1500543653,80,22.33393892,14.64285714,580,22.72210294,189.2720463,36.61278464,PA,100,25,45.43,2015
15,1502244821,80,27.46658309,29.99310345,910,53.91884055,804.2611988,155.5762863,PA,100,25.03,45.53,2016
88,1492245252,80,44.46684158,18.6,40,6.211871154,50.08785901,9.688995446,PA,100,24.9,45.57,2016
124,1502544824,80,25.46253644,24.70606061,1050,53.46659258,663.49194,128.3458809,PA,100,25.03,45.53,2016
128,1522242421,80,32.08173291,27.42,870,70.32743396,946.5814607,186.9544325,PA,94.5782128,25.28,45.32,2017
63,1502544024,81.76470588,26.62669201,22.45882353,1100,61.25153772,703.1416158,136.0157142,PA,100,25.03,45.46,2015
12,1508544453,82,27.1406178,19.68,670,38.76181839,434.6308177,84.07498537,PA,100,25.11,45.5,2015
7,1496543624,82.5,26.24631224,17.055,640,34.62632792,288.6337772,55.83331787,PA,100,24.95,45.43,2015
96,1522541624,82.55555556,32.32500322,24.91666667,600,49.24002735,687.4698692,158.8881595,PA,60.64417697,25.28,45.25,2014
30,1522543224,84.375,25.01814754,22,1090,53.58295718,602.2016694,116.4898909,PA,100,25.29,45.39,2015
91,1468545253,85,25.5006213,13.57727273,830,42.39059352,352.5540632,68.19805798,PA,100,24.6,45.57,2017
47,1496544424,86.66666667,30.70019001,16.03333333,120,8.882868936,80.77911289,15.6259116,PA,100,24.95,45.5,2016
24,1506543253,88,30.40368592,21.35333333,510,37.026489,440.2550548,102.1113497,PA,55.99402739,25.08,45.39,2015
99,1506243252,88,34.37837851,24.925,550,51.05324467,646.5110253,134.2429874,PA,84.27379745,25.08,45.39,2015
43,1478544024,88.42105263,29.76400252,22.17368421,650,45.22576308,533.4999683,103.2002339,PA,100,24.72,45.46,2014
2,1468244452,89.56521739,37.18624359,25.67391304,730,79.28250455,1018.190526,216.1960522,PA,48.70835679,24.59,45.5,2014
29,1508242852,90,40.57815504,16.7,60,7.759356863,56.25070986,10.88113732,PA,100,25.1,45.36,2014
123,1502244852,90.74074074,31.10102233,24.86296296,780,59.25620227,736.5381505,142.4759398,PA,100,25.03,45.54,2016
46,1516544424,91.81818182,28.87577956,20.73636364,310,20.30107383,215.0200151,41.59347172,PA,100,25.21,45.5,2014
11,1474244021,93.33333333,33.83630294,25.35833333,630,56.64952074,732.4314032,141.6815306,PA,100,24.67,45.46,2016
19,1474244052,97.14285714,46.44025257,30.24285714,340,57.59144091,776.5511879,150.2160618,PA,93.19087099,24.67,45.46,2016
42,1464244452,97.75,29.13717697,25.62,1220,81.34758336,1047.357766,202.6008862,PA,100,24.54,45.5,2016
102,1468544453,98.94736842,42.18749276,26.80526316,440,61.50493858,801.9583654,170.9528951,PA,75.48148173,24.6,45.5,2014
18,1502243252,99.25925926,29.91802475,22.91851852,780,54.83404933,633.6805959,125.5934144,PA,94.65034268,25.03,45.39,2017
10,1464544424,100,46.43602554,36.13636364,470,79.59720574,1313.755044,254.1327758,PA,100,24.54,45.5,2016
13,1484543653,100,37.94579236,28.33125,380,42.97350033,558.8327702,110.1875294,PA,91.6239356,24.8,45.43,2016
35,1464544453,100,36.84174296,30.11875,820,87.41461924,1272.076157,246.0704117,PA,100,24.54,45.5,2016
56,1464244421,100,39.44707549,29.75416667,510,62.32893121,851.1771152,164.6517012,PA,100,24.54,45.5,2016
85,1522542424,100,31.8569496,24.20952381,630,50.21561753,598.0293161,115.6827909,PA,100,25.28,45.32,2017
113,1496544453,100,44.51743274,27.21333333,330,51.36461577,676.5705398,130.8758052,PA,100,24.95,45.5,2016
80,1522243221,103,45.66757007,30.155,460,75.3465759,1051.44055,211.396229,PA,78.90863129,25.28,45.39,2015
61,1464543653,103.3333333,38.17176385,23.94666667,450,51.49758368,728.148463,169.1948448,PA,61.32361518,24.55,45.43,2015
121,1502544053,103.9130435,37.53387076,27.02173913,550,60.85542216,814.3851205,157.5346577,PA,100,25.03,45.46,2015
8,1488244421,107.1428571,31.79625126,20.35714286,690,54.78867687,694.7758337,164.4581291,PA,47.68881998,24.85,45.5,2017
21,1474544053,107.8571429,38.11365796,28.47142857,650,74.15910886,999.5658877,193.3560253,PA,100,24.67,45.46,2016
114,1502543224,112.9411765,34.83634237,25.47352941,800,76.25089906,919.0393253,179.1295293,PA,98.19346002,25.03,45.39,2017
72,1488542024,114.2857143,60.31854687,28.06428571,310,88.58359801,1156.105443,223.9513456,PA,65.89656998,24.85,45.28,2015
64,1520542824,115.3333333,31.51438825,22.89,900,70.20210798,782.4618283,151.3594161,PA,100,25.26,45.35,2016
110,1496244421,121.1111111,39.21445577,19.78333333,480,57.97269674,629.4145374,121.7539481,PA,100,24.95,45.5,2016
50,1502244052,131.4285714,51.71881393,19.15714286,140,29.4113548,264.500218,51.16492217,PA,100,25.03,45.46,2015
32,1516544453,135.5263158,46.07121957,29.67368421,440,73.35031368,1020.131969,197.3343281,PA,100,25.21,45.5,2014
