,id,age,dg,ht,nha,ba,vol,c_tree,sp_optforeu,pr1,x,y,year
321,1486244821,70.90909091,24.3324439,15.79090909,920,42.78082646,733.9170043,195.4310174,FS,81.36855102,24.82,45.53,2016
350,1510540024,70.90909091,21.60901432,13.75454545,400,14.66965119,164.4048329,46.36709501,FS,100,25.13,45.1,2016
372,1504238821,70.95238095,21.96858781,23.88571429,870,32.97717242,438.6367646,125.6390703,FS,52.45642511,25.05,44.99,2014
182,1488543624,71.11111111,28.86340115,18.47777778,270,17.66642427,200.6098573,46.2409124,FS,43.40970341,24.85,45.43,2014
224,1476540424,72.5,35.60538774,15.85,110,10.95251876,95.24234309,26.86119802,FS,100,24.7,45.14,2017
334,1486540853,72.5,28.3907178,24.75,70,4.431397079,87.34066991,24.63268913,FS,100,24.83,45.18,2014
355,1500542824,72.5,29.67210089,24.475,140,9.68087274,147.2252625,41.5219408,FS,100,25,45.35,2015
261,1466538453,73.25,26.20520705,20.13,730,39.37204135,453.4760625,129.9555896,FS,31.51074895,24.57,44.96,2015
352,1464243621,73.84615385,31.09630203,23.70769231,470,35.69482285,619.8406548,174.8136599,FS,100,24.54,45.43,2015
286,1516543624,74.33333333,24.43371419,19.03,1080,50.63987391,539.5116687,152.1584759,FS,100,25.21,45.42,2016
411,1478541624,74.44444444,26.58718214,27.22777778,630,34.97639559,550.0965633,155.1437337,FS,100,24.72,45.25,2017
260,1462543224,75,33.49155722,19.11666667,840,74.0013852,1077.866494,303.9906873,FS,100,24.52,45.39,2015
384,1516243621,75.33333333,22.30069879,12.15333333,600,23.43570786,266.4767703,75.35898371,FS,52.89902182,25.21,45.42,2016
298,1504243652,76.45833333,23.93957672,25.59583333,870,39.15994457,576.7838478,159.3880442,FS,77.14956848,25.05,45.43,2014
386,1510240021,76.92307692,25.09162012,24.63846154,500,24.72391792,354.6977975,100.3057026,FS,91.40220621,25.13,45.1,2016
408,1472243621,77,34.92229836,29.1,260,24.90398616,422.4809378,119.0880876,FS,99.58372278,24.64,45.43,2014
